Foot,Take,TA
1,1,1.901855469
1,1,2.220703125
1,1,2.184082031
1,1,1.901123047
1,1,1.888916016
1,1,1.926513672
1,1,2.384033203
1,1,2.409423828
1,1,2.401367188
1,1,2.148193359
1,1,1.7421875
1,1,1.803710938
1,1,1.649414063
1,1,1.873535156
1,1,1.803222656
1,1,1.376708984
1,1,1.68359375
1,1,2.515380859
1,1,2.432617188
1,1,2.297851563
1,1,1.981445313
1,1,1.432861328
1,1,1.676025391
1,1,2.073974609
1,1,1.825927734
1,1,1.876464844
1,1,1.961914063
1,1,1.572509766
1,1,2.159912109
1,1,1.889404297
1,1,2.095214844
1,1,1.913085938
1,1,1.893554688
1,1,2.245849609
1,1,1.620849609
1,1,1.63671875
1,1,2.114990234
1,1,2.050537109
1,1,1.669189453
1,1,1.940917969
1,1,2.046630859
1,1,2.068359375
1,1,1.853759766
1,1,1.625
1,1,1.425537109
1,1,2.123535156
1,1,2.119384766
1,1,1.634033203
1,1,1.873046875
1,1,1.866943359
1,1,1.384033203
1,1,2.034912109
1,1,2.393066406
1,1,2.387939453
1,1,1.974121094
1,1,1.822509766
1,1,1.852783203
1,1,1.807373047
1,1,1.815673828
1,1,1.951416016
1,1,2.025146484
1,1,1.303222656
1,1,1.861328125
1,1,1.968261719
1,1,2.233642578
1,1,2.393798828
1,1,2.285888672
1,1,1.463134766
1,1,1.952636719
1,1,1.806884766
1,1,1.576660156
1,1,1.625
1,1,2.002685547
1,1,1.473388672
1,1,1.917724609
1,1,2.309814453
1,1,2.094726563
1,1,1.829101563
1,1,2.002929688
1,1,1.525878906
1,1,1.724609375
1,1,2.010986328
1,1,1.910400391
1,1,1.802978516
1,1,1.656494141
1,1,1.713378906
1,1,2.037109375
1,1,1.921630859
1,1,1.886230469
1,1,1.645507813
1,1,1.757568359
1,1,1.76171875
1,1,1.875
1,1,2.083007813
1,1,2.387207031
1,1,1.802490234
1,1,1.476318359
0,1,1.640625
0,1,1.573974609
0,1,1.596191406
0,1,1.805175781
0,1,1.509033203
0,1,2.030273438
0,1,1.817138672
0,1,1.766357422
0,1,1.622070313
0,1,1.831054688
0,1,1.505126953
0,1,1.634765625
0,1,1.530029297
0,1,1.545166016
0,1,1.553466797
0,1,1.481201172
0,1,1.545654297
0,1,1.701904297
0,1,1.727783203
0,1,1.617431641
0,1,1.498779297
0,1,1.650878906
0,1,1.517333984
0,1,1.520996094
0,1,1.697998047
0,1,1.656982422
0,1,1.665039063
0,1,1.680419922
0,1,1.642578125
0,1,1.627441406
0,1,1.71484375
0,1,1.713867188
0,1,1.563232422
0,1,1.551025391
0,1,1.651367188
0,1,1.510986328
0,1,1.577148438
0,1,1.551513672
0,1,1.716552734
0,1,1.470947266
0,1,1.603271484
0,1,1.662353516
0,1,1.539794922
0,1,1.7890625
0,1,1.7265625
0,1,1.646728516
0,1,1.692382813
0,1,1.497558594
0,1,1.640380859
0,1,1.637451172
0,1,1.607910156
0,1,1.696777344
0,1,1.698242188
0,1,1.466308594
0,1,1.704101563
0,1,1.516113281
0,1,1.433105469
0,1,1.645751953
0,1,1.592529297
0,1,1.494384766
0,1,1.821777344
0,1,1.670654297
0,1,1.594238281
0,1,1.686523438
0,1,1.562255859
0,1,1.379638672
0,1,1.698730469
0,1,1.684570313
0,1,1.601074219
0,1,1.494873047
0,1,1.560546875
0,1,1.581787109
0,1,1.604736328
0,1,1.750732422
0,1,1.521972656
0,1,1.788818359
0,1,1.651367188
0,1,1.588134766
0,1,1.496337891
0,1,1.426513672
0,1,1.432128906
0,1,1.694824219
0,1,1.583496094
0,1,1.698974609
0,1,1.593505859
0,1,1.638916016
0,1,1.631591797
0,1,1.713378906
0,1,1.611083984
0,1,1.404541016
0,1,1.478759766
0,1,1.527099609
0,1,1.534912109
0,1,1.500244141
0,1,1.335205078
0,1,1.581298828
0,1,1.524169922
0,1,1.598388672
0,1,1.523681641
0,1,1.66796875
0,1,1.456298828
0,1,1.345214844
1,2,1.771728516
1,2,1.836181641
1,2,1.806884766
1,2,1.569335938
1,2,1.64453125
1,2,1.788330078
1,2,1.681884766
1,2,1.841552734
1,2,1.675048828
1,2,1.795898438
1,2,1.706054688
1,2,1.819580078
1,2,1.53125
1,2,1.881103516
1,2,1.951171875
1,2,1.706054688
1,2,1.9375
1,2,1.918457031
1,2,1.533935547
1,2,1.920410156
1,2,1.6484375
1,2,1.897216797
1,2,1.559570313
1,2,1.786132813
1,2,1.677490234
1,2,1.931396484
1,2,2.019775391
1,2,1.918701172
1,2,1.945800781
1,2,1.930175781
1,2,1.76171875
1,2,2.150146484
1,2,1.564941406
1,2,1.848876953
1,2,1.545166016
1,2,1.890380859
1,2,2.654541016
1,2,2.265625
1,2,2.069580078
1,2,1.862060547
1,2,2.148681641
1,2,2.182617188
1,2,1.790527344
1,2,2.047363281
1,2,1.906005859
1,2,1.895019531
1,2,1.934570313
1,2,1.787109375
1,2,1.615234375
1,2,1.839355469
1,2,1.910644531
1,2,1.918457031
1,2,1.87109375
1,2,2.046386719
1,2,1.720703125
1,2,1.631103516
1,2,1.720458984
1,2,1.8125
1,2,1.788574219
1,2,1.872802734
1,2,1.663818359
1,2,1.841796875
1,2,1.842285156
1,2,1.657226563
1,2,1.814941406
1,2,2.033447266
1,2,1.795410156
1,2,1.690673828
1,2,1.909179688
1,2,2.001953125
1,2,1.790771484
1,2,1.927001953
1,2,1.740722656
1,2,1.719482422
1,2,1.835205078
1,2,1.769042969
1,2,1.928466797
1,2,1.724365234
0,2,1.651123047
0,2,1.869384766
0,2,2.119384766
0,2,1.732177734
0,2,1.502441406
0,2,1.593261719
0,2,1.563720703
0,2,1.762451172
0,2,1.538330078
0,2,1.669921875
0,2,1.58984375
0,2,1.513427734
0,2,1.762207031
0,2,1.842285156
0,2,1.500244141
0,2,1.8828125
0,2,1.55859375
0,2,1.760742188
0,2,2.105957031
0,2,1.856933594
0,2,1.583984375
0,2,1.762207031
0,2,1.950195313
0,2,1.809326172
0,2,1.929443359
0,2,1.773193359
0,2,1.652832031
0,2,1.821533203
0,2,1.768066406
0,2,1.87890625
0,2,1.927246094
0,2,1.739501953
0,2,2.131835938
0,2,1.895751953
0,2,1.691162109
0,2,1.837158203
0,2,1.911132813
0,2,1.748291016
0,2,1.8671875
0,2,1.510498047
0,2,1.548339844
0,2,1.577392578
0,2,1.594238281
0,2,1.624755859
0,2,1.998046875
0,2,2.826660156
0,2,2.540283203
0,2,2.012939453
0,2,2.034667969
0,2,1.741943359
0,2,1.776367188
0,2,1.790771484
0,2,2.274169922
0,2,1.92578125
0,2,1.79296875
0,2,1.968261719
0,2,1.810791016
0,2,1.492431641
0,2,1.685546875
0,2,1.751220703
0,2,1.85546875
0,2,1.772949219
0,2,1.928710938
0,2,1.505615234
0,2,1.612060547
0,2,1.479248047
0,2,1.718505859
0,2,1.485107422
0,2,1.968505859
0,2,1.609375
0,2,1.671142578
0,2,1.772460938
0,2,1.6171875
0,2,1.686767578
0,2,1.716796875
0,2,2.056152344
0,2,1.836914063
0,2,1.675537109
0,2,1.538085938
0,2,1.678955078
0,2,1.689697266
0,2,1.683837891
0,2,1.790283203
1,3,1.490234375
1,3,1.366210938
1,3,1.35546875
1,3,1.484130859
1,3,1.529296875
1,3,1.395019531
1,3,1.457519531
1,3,1.385498047
1,3,1.436523438
1,3,1.308105469
1,3,1.338867188
1,3,1.495849609
1,3,1.554931641
1,3,1.581542969
1,3,1.368164063
1,3,1.461669922
1,3,1.551757813
1,3,1.388671875
1,3,1.439697266
1,3,1.474853516
1,3,1.302001953
1,3,1.429931641
1,3,1.547119141
1,3,1.359130859
1,3,1.627441406
1,3,1.652587891
1,3,1.497802734
1,3,1.662353516
1,3,1.593017578
1,3,1.526123047
1,3,1.435302734
1,3,1.328857422
1,3,1.518798828
1,3,1.364013672
1,3,1.347412109
1,3,1.46875
1,3,1.456787109
1,3,1.489013672
1,3,1.476074219
1,3,1.473632813
1,3,1.498291016
1,3,1.714355469
1,3,1.516845703
1,3,1.621337891
1,3,1.476074219
1,3,1.394287109
1,3,1.471923828
1,3,1.564208984
1,3,1.370361328
1,3,1.359130859
1,3,1.327880859
1,3,1.422363281
1,3,1.645996094
1,3,1.668212891
1,3,1.452636719
1,3,1.441650391
1,3,1.564208984
1,3,1.458496094
1,3,1.471435547
1,3,1.438232422
1,3,1.641113281
1,3,1.4609375
1,3,1.546630859
1,3,1.538085938
1,3,1.491699219
1,3,1.470458984
1,3,1.518798828
1,3,1.381347656
1,3,1.449707031
1,3,1.452148438
1,3,1.483154297
1,3,1.475830078
1,3,1.719238281
1,3,1.304931641
1,3,1.475341797
1,3,1.51953125
1,3,1.489257813
1,3,1.368408203
1,3,1.343017578
1,3,1.465576172
1,3,1.505371094
0,3,1.762939453
0,3,1.616699219
0,3,1.642333984
0,3,1.623291016
0,3,1.546630859
0,3,1.774658203
0,3,1.544189453
0,3,1.622558594
0,3,1.373291016
0,3,1.536376953
0,3,1.470458984
0,3,1.522460938
0,3,1.684570313
0,3,1.543212891
0,3,1.638427734
0,3,1.847412109
0,3,1.608154297
0,3,1.718505859
0,3,1.662353516
0,3,1.610107422
0,3,1.678710938
0,3,1.463378906
0,3,1.608642578
0,3,1.744384766
0,3,1.843994141
0,3,1.943359375
0,3,1.384521484
0,3,1.512207031
0,3,1.677734375
0,3,1.754638672
0,3,1.582763672
0,3,1.692626953
0,3,2.384765625
0,3,1.607666016
0,3,1.579833984
0,3,1.708251953
0,3,1.959960938
0,3,2.139404297
0,3,2.093505859
0,3,1.569824219
0,3,1.779785156
0,3,1.996337891
0,3,1.918701172
0,3,2.150146484
0,3,2.443603516
0,3,1.341308594
0,3,1.864746094
0,3,1.983886719
0,3,1.973876953
0,3,2.164550781
0,3,2.295166016
0,3,1.724365234
0,3,1.607421875
0,3,1.579345703
0,3,1.451416016
0,3,1.757324219
0,3,2.090576172
0,3,1.381835938
0,3,2.044189453
0,3,1.724853516
0,3,1.602050781
0,3,1.742675781
0,3,2.116699219
0,3,2.009521484
0,3,1.709228516
0,3,1.406005859
0,3,1.544433594
0,3,1.541748047
0,3,1.786621094
0,3,1.571044922
0,3,1.769287109
0,3,1.738037109
0,3,1.592041016
0,3,1.914306641
0,3,1.619873047
0,3,1.807128906
0,3,1.690917969
0,3,1.802978516
0,3,2.027587891
0,3,1.770507813
0,3,1.960449219
0,3,1.792724609
1,4,1.616455078
1,4,1.286132813
1,4,1.239257813
1,4,1.522460938
1,4,1.629638672
1,4,1.441162109
1,4,1.392333984
1,4,1.200195313
1,4,1.176513672
1,4,1.434082031
1,4,1.353271484
1,4,1.353759766
1,4,1.484619141
1,4,1.397949219
1,4,1.367919922
1,4,1.521240234
1,4,1.596679688
1,4,1.307617188
1,4,1.382324219
1,4,1.234375
1,4,1.369140625
1,4,1.478515625
1,4,1.23828125
1,4,1.407958984
1,4,1.294189453
1,4,1.302246094
1,4,1.264892578
1,4,1.301513672
1,4,1.261962891
1,4,1.213623047
1,4,1.289550781
1,4,1.257324219
1,4,1.298339844
1,4,1.312011719
1,4,1.261962891
1,4,1.493164063
1,4,1.461914063
1,4,1.233398438
1,4,1.514648438
1,4,1.264648438
1,4,1.317871094
1,4,1.222900391
1,4,1.224853516
1,4,1.438476563
1,4,1.577148438
1,4,1.143066406
1,4,1.241210938
1,4,1.303222656
1,4,1.25390625
1,4,1.296875
1,4,1.250976563
1,4,1.509033203
1,4,1.554443359
1,4,1.257568359
1,4,1.278564453
1,4,1.227294922
1,4,1.444824219
1,4,1.287109375
1,4,1.308349609
1,4,1.235595703
1,4,1.331054688
1,4,1.536376953
1,4,1.3671875
1,4,1.304443359
1,4,1.401611328
1,4,1.387695313
1,4,1.521484375
1,4,1.467773438
1,4,1.579833984
1,4,1.452392578
1,4,1.422119141
1,4,1.563964844
1,4,1.592529297
1,4,1.515136719
1,4,1.437011719
1,4,1.418945313
1,4,1.407958984
1,4,1.383056641
1,4,1.611816406
1,4,1.457763672
1,4,1.355712891
1,4,1.286132813
1,4,1.151855469
1,4,1.230712891
1,4,1.568115234
1,4,1.378662109
1,4,1.279052734
0,4,1.815185547
0,4,2.291503906
0,4,2.38671875
0,4,2.450195313
0,4,2.702148438
0,4,3.12890625
0,4,2.275878906
0,4,1.572753906
0,4,2.779541016
0,4,2.286132813
0,4,2.319335938
0,4,2.391601563
0,4,2.809570313
0,4,2.774902344
0,4,2.432373047
0,4,1.887451172
0,4,2.0703125
0,4,2.369873047
0,4,3.138427734
0,4,2.645996094
0,4,3.070556641
0,4,1.997558594
0,4,2.46875
0,4,1.846435547
0,4,2.058105469
0,4,2.525390625
0,4,2.489013672
0,4,2.240722656
0,4,1.556884766
0,4,2.360107422
0,4,1.932128906
0,4,1.887207031
0,4,1.755371094
0,4,2.01953125
0,4,1.674804688
0,4,1.525390625
0,4,2.002685547
0,4,1.999755859
0,4,2.025146484
0,4,2.244873047
0,4,1.963378906
0,4,2.206787109
0,4,1.798095703
0,4,2.785644531
0,4,1.854980469
0,4,2.007324219
0,4,1.706054688
0,4,2.093261719
0,4,1.905029297
0,4,1.584228516
0,4,1.545898438
0,4,1.909912109
0,4,2.725585938
0,4,2.122314453
0,4,1.721435547
0,4,2.157958984
0,4,2.095214844
0,4,1.701171875
0,4,1.666748047
0,4,1.666503906
0,4,2.084960938
0,4,2.227783203
0,4,1.587890625
0,4,1.901611328
0,4,1.754638672
0,4,2.263183594
0,4,1.713623047
0,4,2.552246094
0,4,1.680664063
0,4,1.480957031
0,4,1.947265625
0,4,1.461425781
0,4,1.780761719
0,4,1.775146484
0,4,2.314941406
0,4,2.988525391
0,4,1.884521484
0,4,1.922851563
0,4,2.447265625
0,4,1.840820313
0,4,2.991699219
0,4,1.958984375
0,4,2.936035156
0,4,1.607421875
0,4,1.818603516
0,4,2.006347656
0,4,1.928222656
0,4,2.137939453
0,4,1.91796875
0,4,2.488525391
1,5,1.525878906
1,5,1.354980469
1,5,1.258056641
1,5,1.465332031
1,5,1.273193359
1,5,1.465087891
1,5,1.418701172
1,5,1.27734375
1,5,1.367919922
1,5,1.556884766
1,5,1.238037109
1,5,1.269775391
1,5,1.354980469
1,5,1.331542969
1,5,1.30859375
1,5,1.260986328
1,5,1.352539063
1,5,1.514648438
1,5,1.564208984
1,5,1.297119141
1,5,1.300048828
1,5,1.367431641
1,5,1.299316406
1,5,1.470947266
1,5,1.529541016
1,5,1.197265625
1,5,1.323974609
1,5,1.298095703
1,5,1.491699219
1,5,1.359619141
1,5,1.228027344
1,5,1.239013672
1,5,1.149902344
1,5,1.237548828
1,5,1.272460938
1,5,1.334472656
1,5,1.411376953
1,5,1.37890625
1,5,1.349853516
1,5,1.240478516
1,5,1.423339844
1,5,1.395507813
1,5,1.4375
1,5,1.363525391
1,5,1.483886719
1,5,1.333007813
1,5,1.321044922
1,5,1.225585938
1,5,1.563476563
1,5,1.357177734
1,5,1.191650391
1,5,1.519775391
1,5,1.350585938
1,5,1.434326172
1,5,1.198242188
1,5,1.404785156
1,5,1.164550781
1,5,1.319091797
1,5,1.419189453
1,5,1.189208984
1,5,1.186523438
1,5,1.396240234
1,5,1.224609375
1,5,1.22265625
1,5,1.133789063
1,5,1.268066406
1,5,1.276123047
1,5,1.428466797
1,5,1.546875
1,5,1.196533203
1,5,1.143066406
1,5,1.189208984
1,5,1.304931641
1,5,1.141113281
1,5,1.224609375
1,5,1.202880859
1,5,1.388427734
1,5,1.319091797
1,5,1.217773438
1,5,1.212890625
1,5,1.415283203
1,5,1.364990234
1,5,1.227783203
1,5,1.197509766
1,5,1.442382813
1,5,1.268554688
1,5,1.377929688
0,5,1.7578125
0,5,1.926513672
0,5,2.212402344
0,5,1.826171875
0,5,1.880126953
0,5,2.236572266
0,5,2.424804688
0,5,1.705566406
0,5,2.135253906
0,5,2.044677734
0,5,2.251708984
0,5,2.642822266
0,5,2.402587891
0,5,2.477783203
0,5,2.071289063
0,5,2.350341797
0,5,2.299316406
0,5,2.315429688
0,5,2.277832031
0,5,2.081054688
0,5,2.585693359
0,5,3.218261719
0,5,3.272705078
0,5,2.493164063
0,5,2.372558594
0,5,2.583740234
0,5,2.155761719
0,5,2.114013672
0,5,2.1875
0,5,2.165771484
0,5,2.632080078
0,5,2.521728516
0,5,2.388427734
0,5,2.976318359
0,5,2.750976563
0,5,1.979248047
0,5,2.543701172
0,5,2.886230469
0,5,2.851074219
0,5,2.603759766
0,5,2.859375
0,5,4.454589844
0,5,2.472900391
0,5,2.265625
0,5,2.390380859
0,5,2.750244141
0,5,2.865722656
0,5,2.855224609
0,5,2.706298828
0,5,2.874267578
0,5,2.427978516
0,5,2.400878906
0,5,2.869384766
0,5,2.280761719
0,5,3.576416016
0,5,1.403564453
0,5,2.507324219
0,5,2.079345703
0,5,2.903076172
0,5,2.997070313
0,5,2.913818359
0,5,2.533447266
0,5,2.416503906
0,5,3.196044922
0,5,2.479980469
0,5,2.408203125
0,5,2.590332031
0,5,2.399902344
0,5,3.1875
0,5,1.705322266
0,5,2.345214844
0,5,2.400878906
0,5,2.470703125
0,5,2.489501953
0,5,3.067382813
0,5,2.298095703
0,5,1.664306641
0,5,2.118164063
0,5,2.523925781
0,5,2.364501953
0,5,2.411621094
0,5,2.598388672
0,5,1.792236328
0,5,1.743408203
0,5,2.818603516
0,5,2.343994141
0,5,1.947998047
0,5,3.077148438
0,5,3.430175781
0,5,2.902832031
0,5,2.129638672
0,5,2.616210938
0,5,2.498535156
0,5,2.442382813
0,5,2.868164063
0,5,2.839111328
0,5,3.285400391
1,6,2.057373
1,6,2.402588
1,6,2.325439
1,6,2.159424
1,6,1.749512
1,6,2.176025
1,6,1.762207
1,6,2.071045
1,6,1.752441
1,6,1.796631
1,6,1.818604
1,6,1.741211
1,6,1.849121
1,6,2.01123
1,6,1.768555
1,6,2.005127
1,6,1.974365
1,6,2.093018
1,6,1.584961
1,6,1.940186
1,6,1.945801
1,6,1.952148
1,6,1.990234
1,6,2.067627
1,6,1.476074
1,6,1.667236
1,6,1.827637
1,6,1.986572
1,6,1.940674
1,6,1.876465
1,6,1.900879
1,6,1.743896
1,6,1.675781
1,6,1.599121
1,6,1.692139
1,6,1.793457
1,6,1.660156
1,6,1.444092
1,6,1.887207
1,6,1.813965
1,6,1.951416
1,6,1.874512
1,6,1.767822
1,6,1.371582
1,6,1.413818
1,6,1.693604
1,6,1.411865
1,6,1.706055
1,6,1.935059
1,6,1.657227
1,6,1.672852
1,6,1.709961
1,6,1.753418
1,6,1.730957
1,6,1.646484
1,6,1.838135
1,6,1.705078
1,6,1.83667
1,6,1.721924
1,6,1.8396
1,6,1.711914
1,6,1.688477
1,6,1.859131
1,6,1.870117
1,6,1.798584
1,6,1.901855
1,6,1.778076
1,6,1.545898
1,6,1.947266
1,6,1.588379
1,6,1.949951
1,6,1.836426
1,6,1.993408
1,6,1.726807
1,6,1.789063
1,6,1.769775
1,6,1.775879
1,6,2.018066
1,6,1.442383
1,6,1.641357
1,6,1.7146
1,6,1.804443
1,6,1.740967
1,6,2.116455
1,6,1.826904
0,6,1.807129
0,6,1.601563
0,6,1.520264
0,6,1.575684
0,6,1.630371
0,6,1.557373
0,6,1.793945
0,6,1.605713
0,6,1.635986
0,6,1.614502
0,6,1.563965
0,6,1.291016
0,6,1.690186
0,6,1.622559
0,6,1.71582
0,6,1.52417
0,6,1.428711
0,6,1.491699
0,6,1.351563
0,6,1.351318
0,6,1.600098
0,6,1.576904
0,6,1.44458
0,6,1.656006
0,6,1.4729
0,6,1.543457
0,6,1.493408
0,6,1.527832
0,6,1.391602
0,6,1.526855
0,6,1.64502
0,6,1.422852
0,6,1.581055
0,6,1.520996
0,6,1.55542
0,6,1.718506
0,6,1.605469
0,6,1.449707
0,6,1.404541
0,6,1.450195
0,6,1.49707
0,6,1.494385
0,6,1.543701
0,6,1.272461
0,6,1.622803
0,6,1.294189
0,6,1.559814
0,6,1.732422
0,6,1.539307
0,6,1.389648
0,6,1.639893
0,6,1.429199
0,6,1.859619
0,6,1.425049
0,6,1.567871
0,6,1.762695
0,6,1.793213
0,6,1.390137
0,6,1.647217
0,6,1.550293
0,6,1.861572
0,6,1.421631
0,6,1.505127
0,6,1.497559
0,6,1.518066
0,6,1.567871
0,6,1.316162
0,6,1.274902
0,6,1.605225
0,6,1.702148
0,6,1.462891
0,6,1.751709
0,6,1.65332
0,6,1.470215
0,6,1.690918
0,6,1.480225
0,6,1.569336
0,6,1.613281
0,6,1.440186
0,6,1.463379
0,6,1.615723
0,6,1.486816
0,6,1.419922
0,6,1.624023
0,6,1.751221
